Label,Organ,Age,Ethnicity,Gender,COD_Anoxia,COD_CerebroVascular_Stroke,COD_HeadTrauma,COD_CNSTumor,COD_Other,ABO_O,ABO_A,ABO_B,ABO_AB,ABO_Unknown,DonorType_DeceasedDonor,DonorType_LivingDonor,Region1,Region2,Region3,Region4,Region5,Region6,Region7,Region8,Region9,Region10,Region11
Kidney_under1_White_Male,Kidney,under1,White,Male,33,0,16,0,3,26,19,4,3,0,52,0,2,5,3,4,15,2,3,3,0,7,8
Kidney_under1_White_Female,Kidney,under1,White,Female,12,2,7,0,1,13,4,4,1,0,22,0,0,5,0,1,3,0,3,4,0,2,4
Kidney_under1_Black_Male,Kidney,under1,Black,Male,9,0,4,0,0,6,4,3,0,0,13,0,0,1,3,2,1,0,1,0,0,2,3
Kidney_under1_Black_Female,Kidney,under1,Black,Female,6,0,1,0,1,3,2,3,0,0,8,0,0,0,1,1,2,0,0,1,0,1,2
Kidney_under1_Hispanic_Male,Kidney,under1,Hispanic,Male,7,1,4,0,0,6,4,1,1,0,12,0,0,0,0,5,4,0,0,1,1,0,1
Kidney_under1_Hispanic_Female,Kidney,under1,Hispanic,Female,2,0,5,0,0,4,2,1,0,0,7,0,1,2,0,1,2,1,0,0,0,0,0
Kidney_under1_Asian_Male,Kidney,under1,Asian,Male,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Kidney_under1_Asian_Female,Kidney,under1,Asian,Female,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Kidney_under1_PacificIslander_Male,Kidney,under1,PacificIslander,Male,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Kidney_under1_Multiracial_Male,Kidney,under1,Multiracial,Male,0,1,1,0,0,1,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0
Kidney_under1_Multiracial_Female,Kidney,under1,Multiracial,Female,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Kidney_1_5years_White_Male,Kidney,1-5years,White,Male,42,4,21,0,1,30,32,4,2,0,68,0,1,5,7,9,7,10,6,6,3,8,6
Kidney_1_5years_White_Female,Kidney,1-5years,White,Female,30,0,15,1,3,17,26,6,0,0,49,0,2,5,8,1,5,5,1,9,3,7,3
Kidney_1_5years_Black_Male,Kidney,1-5years,Black,Male,16,1,4,0,2,9,5,6,3,0,23,0,1,3,8,2,1,1,1,0,2,0,4
Kidney_1_5years_Black_Female,Kidney,1-5years,Black,Female,8,0,5,0,2,7,5,3,0,0,15,0,0,0,5,2,1,0,1,2,2,0,2
Kidney_1_5years_Hispanic_Male,Kidney,1-5years,Hispanic,Male,14,1,7,0,0,9,11,1,1,0,22,0,0,0,7,3,7,0,1,2,1,0,1
Kidney_1_5years_Hispanic_Female,Kidney,1-5years,Hispanic,Female,10,1,5,0,0,11,3,2,0,0,16,0,1,3,4,2,5,0,0,0,1,0,0
Kidney_1_5years_Asian_Male,Kidney,1-5years,Asian,Male,1,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0
Kidney_1_5years_Asian_Female,Kidney,1-5years,Asian,Female,0,0,2,0,0,0,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0
Kidney_1_5years_American_Indian_Female,Kidney,1-5years,American_Indian,Female,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Kidney_1_5years_Multiracial_Male,Kidney,1-5years,Multiracial,Male,1,0,1,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0
Kidney_6_10years_White_Male,Kidney,6-10years,White,Male,16,0,19,0,3,25,10,2,1,0,38,0,0,6,7,2,3,3,4,5,1,6,1
Kidney_6_10years_White_Female,Kidney,6-10years,White,Female,10,2,6,0,1,10,6,2,1,0,19,0,1,5,2,3,1,0,0,1,2,3,1
Kidney_6_10years_Black_Male,Kidney,6-10years,Black,Male,8,1,7,0,1,8,6,2,1,0,17,0,0,0,9,3,1,0,2,0,0,1,1
Kidney_6_10years_Black_Female,Kidney,6-10years,Black,Female,10,0,3,0,1,4,5,5,0,0,14,0,0,1,3,2,1,0,1,0,1,2,3
Kidney_6_10years_Hispanic_Male,Kidney,6-10years,Hispanic,Male,9,2,4,1,0,5,6,4,1,0,16,0,1,0,5,1,4,1,0,1,0,0,3
Kidney_6_10years_Hispanic_Female,Kidney,6-10years,Hispanic,Female,2,3,4,0,0,5,3,1,0,0,9,0,0,3,1,2,3,0,0,0,0,0,0
Kidney_6_10years_Asian_Male,Kidney,6-10years,Asian,Male,1,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0
Kidney_6_10years_Asian_Female,Kidney,6-10years,Asian,Female,1,0,1,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0
Kidney_6_10years_American_Indian_Male,Kidney,6-10years,American_Indian,Male,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Kidney_6_10years_American_Indian_Female,Kidney,6-10years,American_Indian,Female,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Kidney_6_10years_PacificIslander_Male,Kidney,6-10years,PacificIslander,Male,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Kidney_6_10years_Multiracial_Male,Kidney,6-10years,Multiracial,Male,2,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0
Kidney_6_10years_Multiracial_Female,Kidney,6-10years,Multiracial,Female,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Kidney_11_17years_White_Male,Kidney,11-17years,White,Male,66,6,97,1,5,83,68,17,7,0,175,0,6,17,32,19,24,11,13,19,4,15,15
Kidney_11_17years_White_Female,Kidney,11-17years,White,Female,30,8,46,2,1,47,31,6,3,0,87,0,3,6,14,13,9,7,7,11,0,10,7
Kidney_11_17years_Black_Male,Kidney,11-17years,Black,Male,18,2,28,0,0,21,14,12,1,0,48,0,0,7,14,7,4,0,3,2,0,2,9
Kidney_11_17years_Black_Female,Kidney,11-17years,Black,Female,12,3,4,0,0,16,3,0,0,0,19,0,0,3,7,2,2,0,0,0,1,0,4
Kidney_11_17years_Hispanic_Male,Kidney,11-17years,Hispanic,Male,9,4,26,0,1,24,12,4,0,0,40,0,0,2,8,7,16,0,2,2,0,0,3
Kidney_11_17years_Hispanic_Female,Kidney,11-17years,Hispanic,Female,8,4,12,0,0,10,9,4,1,0,24,0,0,1,0,8,8,1,1,3,1,1,0
Kidney_11_17years_Asian_Male,Kidney,11-17years,Asian,Male,2,0,1,0,0,1,1,1,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0
Kidney_11_17years_Asian_Female,Kidney,11-17years,Asian,Female,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Kidney_11_17years_American_Indian_Male,Kidney,11-17years,American_Indian,Male,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0
Kidney_11_17years_American_Indian_Female,Kidney,11-17years,American_Indian,Female,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Kidney_11_17years_Multiracial_Male,Kidney,11-17years,Multiracial,Male,1,1,0,0,0,1,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0
Kidney_18_34years_White_Male,Kidney,18-34years,White,Male,309,53,570,3,21,729,539,126,39,0,956,477,65,167,174,110,193,66,149,123,72,155,159
Kidney_18_34years_White_Female,Kidney,18-34years,White,Female,241,48,198,4,10,530,375,88,19,0,501,511,38,116,122,96,119,38,106,88,44,137,108
Kidney_18_34years_Black_Male,Kidney,18-34years,Black,Male,40,24,197,1,4,211,101,66,11,0,266,123,4,61,73,35,38,6,34,16,27,40,55
Kidney_18_34years_Black_Female,Kidney,18-34years,Black,Female,37,23,29,1,3,144,50,51,7,0,93,159,7,30,63,23,13,0,20,6,26,28,36
Kidney_18_34years_Hispanic_Male,Kidney,18-34years,Hispanic,Male,53,31,159,0,8,256,92,37,4,0,251,138,19,31,27,65,140,5,37,12,32,9,12
Kidney_18_34years_Hispanic_Female,Kidney,18-34years,Hispanic,Female,27,24,27,0,2,205,52,14,1,0,80,192,7,19,31,71,75,2,26,9,23,5,4
Kidney_18_34years_Asian_Male,Kidney,18-34years,Asian,Male,6,0,19,0,0,32,15,14,3,0,25,39,0,5,3,4,33,4,7,0,2,6,0
Kidney_18_34years_Asian_Female,Kidney,18-34years,Asian,Female,7,1,3,0,0,26,14,8,0,0,11,37,1,10,6,3,16,2,3,0,3,2,2
Kidney_18_34years_American_Indian_Male,Kidney,18-34years,American_Indian,Male,4,0,6,0,0,8,2,1,0,0,10,1,0,0,0,1,4,2,3,0,0,1,0
Kidney_18_34years_American_Indian_Female,Kidney,18-34years,American_Indian,Female,0,0,3,0,0,7,4,1,1,0,3,10,0,1,1,2,5,1,1,0,0,0,2
Kidney_18_34years_PacificIslander_Male,Kidney,18-34years,PacificIslander,Male,5,0,2,0,0,5,1,2,0,0,7,1,0,0,0,0,2,3,0,3,0,0,0
Kidney_18_34years_PacificIslander_Female,Kidney,18-34years,PacificIslander,Female,0,0,1,0,0,2,1,1,0,0,1,3,0,1,0,0,2,1,0,0,0,0,0
Kidney_18_34years_Multiracial_Male,Kidney,18-34years,Multiracial,Male,0,0,17,0,0,12,12,3,0,0,17,10,0,3,15,0,3,0,2,0,2,0,2
Kidney_18_34years_Multiracial_Female,Kidney,18-34years,Multiracial,Female,4,4,0,0,0,7,6,4,1,0,8,10,1,0,8,1,3,2,1,1,0,1,0
Kidney_35_49years_White_Male,Kidney,35-49years,White,Male,246,196,298,4,27,697,498,129,27,0,771,580,59,189,145,99,154,50,167,116,77,157,138
Kidney_35_49years_White_Female,Kidney,35-49years,White,Female,229,213,89,5,18,931,527,117,28,0,554,1049,81,241,179,105,191,68,156,109,95,218,160
Kidney_35_49years_Black_Male,Kidney,35-49years,Black,Male,26,76,42,0,1,120,71,42,12,0,145,100,4,49,56,13,21,0,18,6,9,32,37
Kidney_35_49years_Black_Female,Kidney,35-49years,Black,Female,48,80,8,0,3,161,73,54,7,0,139,156,11,41,65,32,21,1,29,4,17,36,38
Kidney_35_49years_Hispanic_Male,Kidney,35-49years,Hispanic,Male,32,66,79,1,3,189,71,29,9,0,181,117,6,30,29,53,113,11,16,15,16,5,4
Kidney_35_49years_Hispanic_Female,Kidney,35-49years,Hispanic,Female,36,63,10,3,2,217,81,23,9,0,114,216,8,25,39,71,103,3,32,5,34,3,7
Kidney_35_49years_Asian_Male,Kidney,35-49years,Asian,Male,6,10,6,0,0,27,11,8,3,0,22,27,2,7,1,4,21,4,2,2,4,1,1
Kidney_35_49years_Asian_Female,Kidney,35-49years,Asian,Female,6,21,1,0,2,39,19,23,6,0,30,57,0,13,5,5,37,6,5,1,10,2,3
Kidney_35_49years_American_Indian_Male,Kidney,35-49years,American_Indian,Male,2,2,2,0,1,7,4,0,0,0,7,4,0,0,1,1,2,1,1,3,1,0,1
Kidney_35_49years_American_Indian_Female,Kidney,35-49years,American_Indian,Female,2,1,1,0,0,6,6,1,0,0,4,9,1,1,0,2,4,2,2,0,0,1,0
Kidney_35_49years_PacificIslander_Male,Kidney,35-49years,PacificIslander,Male,0,1,1,0,1,6,3,1,0,0,3,7,1,0,0,1,3,3,0,0,0,1,1
Kidney_35_49years_PacificIslander_Female,Kidney,35-49years,PacificIslander,Female,0,2,1,0,0,4,2,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0
Kidney_35_49years_Multiracial_Male,Kidney,35-49years,Multiracial,Male,0,4,9,0,0,9,6,2,1,0,13,5,1,0,13,0,1,1,2,0,0,0,0
Kidney_35_49years_Multiracial_Female,Kidney,35-49years,Multiracial,Female,1,6,0,0,0,13,6,3,1,0,7,16,3,2,5,1,3,1,3,0,0,2,3
Kidney_50_64years_White_Male,Kidney,50-64years,White,Male,221,324,205,2,10,592,461,106,31,0,762,428,64,179,127,79,165,49,134,100,67,128,98
Kidney_50_64years_White_Female,Kidney,50-64years,White,Female,194,364,80,1,19,786,549,127,33,0,658,837,96,209,179,100,185,59,154,94,82,202,135
Kidney_50_64years_Black_Male,Kidney,50-64years,Black,Male,14,101,19,0,3,93,52,28,7,0,137,43,7,34,45,10,13,0,12,7,9,14,29
Kidney_50_64years_Black_Female,Kidney,50-64years,Black,Female,47,109,7,3,1,123,50,41,6,0,167,53,0,47,41,14,21,0,19,8,9,13,48
Kidney_50_64years_Hispanic_Male,Kidney,50-64years,Hispanic,Male,15,81,39,0,3,112,51,13,2,1,138,41,3,11,24,23,73,2,15,4,15,4,5
Kidney_50_64years_Hispanic_Female,Kidney,50-64years,Hispanic,Female,16,62,7,0,0,125,40,8,2,0,85,90,7,13,29,36,54,2,5,6,19,3,1
Kidney_50_64years_Asian_Male,Kidney,50-64years,Asian,Male,3,17,7,0,0,18,12,16,1,0,27,20,1,6,5,1,15,6,4,0,6,3,0
Kidney_50_64years_Asian_Female,Kidney,50-64years,Asian,Female,3,24,1,0,0,32,14,17,3,0,28,38,0,10,6,3,26,6,2,2,6,2,3
Kidney_50_64years_American_Indian_Male,Kidney,50-64years,American_Indian,Male,2,0,1,0,0,2,1,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0
Kidney_50_64years_American_Indian_Female,Kidney,50-64years,American_Indian,Female,0,2,1,0,1,3,2,0,0,0,4,1,0,0,1,0,2,1,0,1,0,0,0
Kidney_50_64years_PacificIslander_Male,Kidney,50-64years,PacificIslander,Male,0,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0
Kidney_50_64years_PacificIslander_Female,Kidney,50-64years,PacificIslander,Female,0,2,0,0,0,2,1,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,1
Kidney_50_64years_Multiracial_Male,Kidney,50-64years,Multiracial,Male,1,6,2,0,0,10,2,1,1,0,9,5,0,1,6,0,3,2,1,0,1,0,0
Kidney_50_64years_Multiracial_Female,Kidney,50-64years,Multiracial,Female,0,5,0,0,0,6,1,0,0,0,5,2,0,1,4,1,1,0,0,0,0,0,0
Kidney_over65_White_Male,Kidney,over65,White,Male,19,101,32,0,0,89,83,21,3,0,152,44,12,31,23,8,37,5,20,16,11,14,19
Kidney_over65_White_Female,Kidney,over65,White,Female,37,137,28,0,1,146,96,17,6,0,203,62,14,61,27,10,45,5,18,21,13,21,30
Kidney_over65_Black_Male,Kidney,over65,Black,Male,1,16,0,0,0,9,5,3,0,0,17,0,0,3,6,0,0,0,2,0,2,0,4
Kidney_over65_Black_Female,Kidney,over65,Black,Female,7,19,2,0,0,14,7,7,3,0,28,3,2,10,8,0,3,0,0,3,4,1,0
Kidney_over65_Hispanic_Male,Kidney,over65,Hispanic,Male,2,9,5,0,0,11,6,0,0,0,16,1,0,2,5,1,5,1,1,0,1,1,0
Kidney_over65_Hispanic_Female,Kidney,over65,Hispanic,Female,3,9,2,1,0,10,8,0,0,0,15,3,0,1,5,1,8,0,0,0,3,0,0
Kidney_over65_Asian_Male,Kidney,over65,Asian,Male,0,3,3,0,0,2,3,2,0,0,6,1,0,2,0,0,4,0,0,1,0,0,0
Kidney_over65_Asian_Female,Kidney,over65,Asian,Female,0,12,1,0,0,6,4,5,1,0,13,3,0,4,0,1,3,2,1,0,4,1,0
Kidney_over65_American_Indian_Female,Kidney,over65,American_Indian,Female,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Kidney_over65_PacificIslander_Female,Kidney,over65,PacificIslander,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney_over65_Multiracial_Male,Kidney,over65,Multiracial,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney_over65_Multiracial_Female,Kidney,over65,Multiracial,Female,0,1,1,0,0,3,1,0,0,0,2,2,0,0,2,0,0,0,0,0,2,0,0
Pancreas_under1_White_Male,Pancreas,under1,White,Male,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Pancreas_under1_White_Female,Pancreas,under1,White,Female,1,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Pancreas_under1_Black_Male,Pancreas,under1,Black,Male,0,0,4,0,0,3,1,0,0,0,4,0,0,1,1,1,0,0,0,0,0,0,1
Pancreas_under1_Black_Female,Pancreas,under1,Black,Female,1,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0
Pancreas_under1_Hispanic_Male,Pancreas,under1,Hispanic,Male,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Pancreas_under1_Hispanic_Female,Pancreas,under1,Hispanic,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_under1_Asian_Male,Pancreas,under1,Asian,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_under1_Asian_Female,Pancreas,under1,Asian,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_under1_PacificIslander_Male,Pancreas,under1,PacificIslander,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_under1_Multiracial_Male,Pancreas,under1,Multiracial,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_under1_Multiracial_Female,Pancreas,under1,Multiracial,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_1_5years_White_Male,Pancreas,1-5years,White,Male,3,0,1,0,0,0,3,1,0,0,4,0,0,0,1,1,0,0,0,0,0,2,0
Pancreas_1_5years_White_Female,Pancreas,1-5years,White,Female,1,0,2,0,0,0,1,2,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0
Pancreas_1_5years_Black_Male,Pancreas,1-5years,Black,Male,3,0,1,0,0,2,1,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,3
Pancreas_1_5years_Black_Female,Pancreas,1-5years,Black,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_1_5years_Hispanic_Male,Pancreas,1-5years,Hispanic,Male,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0
Pancreas_1_5years_Hispanic_Female,Pancreas,1-5years,Hispanic,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_1_5years_Asian_Male,Pancreas,1-5years,Asian,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_1_5years_Asian_Female,Pancreas,1-5years,Asian,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_1_5years_American_Indian_Female,Pancreas,1-5years,American_Indian,Female,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Pancreas_1_5years_Multiracial_Male,Pancreas,1-5years,Multiracial,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_6_10years_White_Male,Pancreas,6-10years,White,Male,3,0,7,0,1,9,2,0,0,0,11,0,0,2,0,0,1,1,3,2,0,1,1
Pancreas_6_10years_White_Female,Pancreas,6-10years,White,Female,1,1,1,0,0,1,1,1,0,0,3,0,1,1,0,0,0,0,0,0,0,1,0
Pancreas_6_10years_Black_Male,Pancreas,6-10years,Black,Male,2,0,1,0,1,3,0,1,0,0,4,0,0,0,2,0,0,0,0,0,0,1,1
Pancreas_6_10years_Black_Female,Pancreas,6-10years,Black,Female,3,0,2,0,0,1,2,2,0,0,5,0,0,0,1,0,0,0,0,0,0,1,3
Pancreas_6_10years_Hispanic_Male,Pancreas,6-10years,Hispanic,Male,1,0,1,1,0,1,1,1,0,0,3,0,0,0,1,0,1,0,0,0,0,0,1
Pancreas_6_10years_Hispanic_Female,Pancreas,6-10years,Hispanic,Female,1,1,2,0,0,2,1,1,0,0,4,0,0,2,0,1,1,0,0,0,0,0,0
Pancreas_6_10years_Asian_Male,Pancreas,6-10years,Asian,Male,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Pancreas_6_10years_Asian_Female,Pancreas,6-10years,Asian,Female,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Pancreas_6_10years_American_Indian_Male,Pancreas,6-10years,American_Indian,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_6_10years_American_Indian_Female,Pancreas,6-10years,American_Indian,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_6_10years_PacificIslander_Male,Pancreas,6-10years,PacificIslander,Male,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Pancreas_6_10years_Multiracial_Male,Pancreas,6-10years,Multiracial,Male,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Pancreas_6_10years_Multiracial_Female,Pancreas,6-10years,Multiracial,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_11_17years_White_Male,Pancreas,11-17years,White,Male,25,3,59,0,1,46,31,10,1,0,88,0,2,9,22,9,9,5,7,8,3,7,7
Pancreas_11_17years_White_Female,Pancreas,11-17years,White,Female,11,3,24,2,0,23,13,3,1,0,40,0,1,2,9,3,6,0,4,4,0,8,3
Pancreas_11_17years_Black_Male,Pancreas,11-17years,Black,Male,7,2,15,0,0,11,7,6,0,0,24,0,0,4,6,4,0,0,1,1,0,2,6
Pancreas_11_17years_Black_Female,Pancreas,11-17years,Black,Female,6,1,2,0,0,7,2,0,0,0,9,0,0,1,3,2,2,0,0,0,0,0,1
Pancreas_11_17years_Hispanic_Male,Pancreas,11-17years,Hispanic,Male,3,2,13,0,1,12,5,2,0,0,19,0,0,1,4,4,7,0,2,0,0,0,1
Pancreas_11_17years_Hispanic_Female,Pancreas,11-17years,Hispanic,Female,3,3,9,0,0,9,4,2,0,0,15,0,0,1,0,4,6,1,1,2,0,0,0
Pancreas_11_17years_Asian_Male,Pancreas,11-17years,Asian,Male,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Pancreas_11_17years_Asian_Female,Pancreas,11-17years,Asian,Female,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Pancreas_11_17years_American_Indian_Male,Pancreas,11-17years,American_Indian,Male,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Pancreas_11_17years_American_Indian_Female,Pancreas,11-17years,American_Indian,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_11_17years_Multiracial_Male,Pancreas,11-17years,Multiracial,Male,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
